iter	Passed	Remaining
0	3	348
1	7	360
2	10	347
3	13	324
4	17	323
5	20	318
6	24	323
7	27	317
8	30	312
9	34	312
10	39	315
11	42	311
12	46	308
13	49	306
14	53	301
15	56	298
16	60	293
17	63	288
18	66	284
19	69	279
20	73	277
21	77	274
22	80	270
23	84	266
24	87	262
25	91	259
26	94	254
27	97	251
28	101	248
29	104	244
30	108	241
31	112	238
32	116	235
33	119	231
34	122	228
35	126	224
36	130	221
37	133	217
38	136	213
39	140	210
40	143	207
41	145	201
42	148	197
43	152	193
44	155	190
45	158	186
46	162	183
47	165	179
48	169	176
49	172	172
50	176	169
51	179	165
52	182	162
53	186	159
54	189	154
55	192	151
56	196	147
57	199	144
58	202	140
59	206	137
60	210	134
61	213	130
62	216	127
63	220	123
64	223	120
65	227	117
66	231	113
67	234	110
68	237	106
69	241	103
70	244	99
71	247	96
72	252	93
73	255	89
74	258	86
75	262	82
76	265	79
77	269	75
78	272	72
79	276	69
80	279	65
81	282	62
82	286	58
83	289	55
84	293	51
85	297	48
86	300	44
87	304	41
88	308	38
89	311	34
90	315	31
91	319	27
92	322	24
93	326	20
94	330	17
95	334	13
96	337	10
97	340	6
98	344	3
99	347	0
